References,gal_name,gal_ra_deg,gal_dec_deg,gal_vlsr_km/s,qso_hsla_name,qso_ra_deg,qso_dec_deg,impact_para_kpc,impact_para_err,qso_hsla_snr,qso_snr_stis,gal_z,gal_dmpc,d_err,d_ref,logM*,logM*_err,M*_ref,logM200m,logM200m_err,M200m_ref,logM200c,logM200c_err,M200c_ref,logMHI,logMHI_err,MHI_ref,logSFR_flg,logSFR(Msun/yr),logSFR_err,SFR_ref,R200m_kpc,R200m_err,R200c_kpc,R200c_err,Wr_flg_HI,Wr_HI,eWr_HI,logN_flg_HI,logN_HI,elogN_HI,Wr_flg_SiII,Wr_SiII,eWr_SiII,logN_flg_SiII,logN_SiII,elogN_SiII,Wr_flg_SiIII,Wr_SiIII,eWr_SiIII,logN_flg_SiIII,logN_SiIII,elogN_SiIII,Wr_flg_SiIV,Wr_SiIV,eWr_SiIV,logN_flg_SiIV,logN_SiIV,elogN_SiIV,Wr_flg_CII,Wr_CII,eWr_CII,logN_flg_CII,logN_CII,elogN_CII,Wr_flg_CIV,Wr_CIV,eWr_CIV,logN_flg_CIV,logN_CIV,elogN_CIV,Wr_flg_OVI,Wr_OVI,eWr_OVI,logN_flg_OVI,logN_OVI,elogN_OVI
NewObs/Archived,UGCA292,189.6667,32.7667,314.81,2MASS-J12421031+3214268,190.543,32.2408,61.0,0.8,8.2,nan,nan,3.85,0.05,T16,6.88,0.06,Dale09+d_ref,10.16,0.03,M21,10.01,0.03,M21,7.49,0.01,K13_m21+d_ref,=,-2.73,0.02,"FUV, Lee11",76.1,1.7,45.7,1.1,,nan,nan,,nan,nan,<=(1sig),17.3,nan,<=(1sig),12.01,nan,<=(1sig),17.6,nan,<=(1sig),11.97,nan,<=(1sig),19.8,nan,<=(1sig),12.34,nan,<=(1sig),18.1,nan,<=(1sig),12.99,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
NewObs/Archived,UGC08833,208.7029,35.8375,231.7,SDSSJ135341.03+361948.0,208.4212,36.3298,30.2,1.1,18.2,nan,nan,3.19,0.12,T16,6.95,0.07,Dale09+d_ref,10.200000000000001,0.04,M21,10.05,0.04,M21,7.21,0.03,H18+d_ref,=,-3.07,0.04,"FUV, Lee11",78.4,2.4,47.2,1.5,,nan,nan,,nan,nan,<=(1sig),10.3,nan,<=(1sig),11.82,nan,<=(1sig),11.2,nan,<=(1sig),11.72,nan,<=(1sig),5.2,nan,<=(1sig),11.76,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
NewObs/Archived,UGC08833,208.7029,35.8375,231.7,CSO1022,208.359,36.347,32.2,1.3,11.0,nan,nan,3.19,0.12,T16,6.95,0.07,Dale09+d_ref,10.200000000000001,0.04,M21,10.05,0.04,M21,7.21,0.03,H18+d_ref,=,-3.07,0.04,"FUV, Lee11",78.4,2.4,47.2,1.5,,nan,nan,,nan,nan,<=(1sig),12.9,nan,<=(1sig),11.89,nan,<=(1sig),12.3,nan,<=(1sig),11.78,nan,<=(1sig),14.4,nan,<=(1sig),12.21,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ124826.11+314318.5,192.1088,31.7218,nan,SDSSJ124511.25+335610.1,191.2969,33.9361,487.1,nan,5.8,nan,0.0028,nan,nan,,7.03,nan,Liang+2014(Kroupa IMF),10.24,nan,M21,10.09,nan,M21,nan,nan,,,-2.41,nan,Liang+2014,80.9,nan,48.7,nan,=,636.0,80.0,=,14.07,0.05,<=(1sig),13.5,nan,<=(1sig),11.91,nan,,nan,nan,,nan,nan,<=(1sig),29.0,nan,<=(1sig),12.52,nan,<=(1sig),16.5,nan,<=(1sig),12.91,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
NewObs/Archived,PGC039646,184.815,6.2939,671.7,PG1216+069,184.8372,6.644,27.6,nan,22.5,nan,nan,4.51,nan,K13,7.11,nan,K13+d_ref,10.280000000000001,0.0,M21,10.13,0.0,M21,6.45,nan,H18+d_ref,=,-3.39,nan,"FUV, K13_c",83.4,0.0,50.2,0.0,,nan,nan,,nan,nan,<=(1sig),7.0,nan,<=(1sig),11.6,nan,<=(1sig),8.8,nan,<=(1sig),11.61,nan,<=(1sig),8.1,nan,<=(1sig),11.95,nan,<=(1sig),9.0,nan,<=(1sig),12.65,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
NewObs/Archived,PGC039646,184.815,6.2939,671.7,MS1217.0+0700,184.8787,6.7261,34.4,nan,11.3,nan,nan,4.51,nan,K13,7.11,nan,K13+d_ref,10.280000000000001,0.0,M21,10.13,0.0,M21,6.45,nan,H18+d_ref,=,-3.39,nan,"FUV, K13_c",83.4,0.0,50.2,0.0,,nan,nan,,nan,nan,<=(1sig),11.2,nan,<=(1sig),11.82,nan,<=(1sig),14.6,nan,<=(1sig),11.83,nan,<=(1sig),15.8,nan,<=(1sig),12.26,nan,<=(1sig),12.1,nan,<=(1sig),12.74,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ025405.61-005236.6,43.5235,-0.8768,nan,SDSSJ025937.46+003736.3,44.9061,0.6268,494.0,nan,6.6,nan,0.0032,nan,nan,,7.13,nan,Liang+2014(Kroupa IMF),10.290000000000001,nan,M21,10.14,nan,M21,nan,nan,,,-2.33,nan,Liang+2014,84.1,nan,50.6,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),16.5,nan,<=(1sig),11.9,nan,<=(1sig),13.5,nan,<=(1sig),12.18,nan,,nan,nan,,nan,nan,<=(1sig),12.5,nan,<=(1sig),12.49,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ025914.53+003359.6,44.8106,0.5669,nan,SDSSJ025937.46+003736.3,44.9061,0.6268,76.6,nan,6.6,nan,0.0092,nan,nan,,7.23,nan,Liang+2014(Kroupa IMF),10.34,nan,M21,10.19,nan,M21,nan,nan,,,-2.44,nan,Liang+2014,87.4,nan,52.6,nan,=,446.0,33.0,=,13.91,0.03,<=(1sig),7.5,nan,<=(1sig),11.66,nan,,nan,nan,,nan,nan,<=(1sig),14.5,nan,<=(1sig),12.22,nan,<=(1sig),16.5,nan,<=(1sig),12.91,nan,<=(1sig),19.5,nan,<=(1sig),12.68,nan,,nan,nan,,nan,nan
NewObs/Archived,DDO181,204.9742,40.7392,224.2,PG-1338+416,205.2532,41.3872,37.4,0.5,16.6,nan,nan,3.14,0.04,D09,7.32,0.06,Dale09+d_ref,10.39,0.03,M21,10.24,0.03,M21,7.37,0.01,K13_m21+d_ref,=,-2.65,0.02,"FUV, Lee11",90.8,2.1,54.6,1.3,,nan,nan,,nan,nan,<=(1sig),8.5,nan,<=(1sig),11.73,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
NewObs/Archived,DDO099,177.7208,38.8806,255.94,SDSSJ114646.00+371511.0,176.6917,37.2531,84.2,2.2,9.3,nan,nan,2.65,0.07,T16,7.32,0.06,Dale09+d_ref,10.39,0.03,M21,10.24,0.03,M21,7.74,0.05,Begum08+d_ref,=,-2.49,0.03,"FUV, Lee11",90.8,2.1,54.6,1.3,,nan,nan,,nan,nan,<=(1sig),15.0,nan,<=(1sig),11.96,nan,<=(1sig),17.1,nan,<=(1sig),11.9,nan,<=(1sig),17.0,nan,<=(1sig),12.31,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ075106.01+292250.3,117.7751,29.3806,nan,FBQS0751+2919,117.8013,29.3273,112.3,nan,9.9,nan,0.0268,nan,nan,,7.33,nan,Liang+2014(Kroupa IMF),10.4,nan,M21,10.25,nan,M21,nan,nan,,,nan,nan,Liang+2014,91.5,nan,55.0,nan,=,526.0,10.0,=,13.98,0.01,<=(1sig),3.0,nan,<=(1sig),11.26,nan,,nan,nan,,nan,nan,<=(1sig),4.0,nan,<=(1sig),11.66,nan,,nan,nan,,nan,nan,<=(1sig),9.0,nan,<=(1sig),12.35,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ122815.96+014944.1,187.0665,1.8289,nan,3C273,187.2779,2.0524,69.5,nan,105.6,18.0,0.003,nan,nan,,7.33,nan,Liang+2014(Kroupa IMF),10.4,nan,M21,10.25,nan,M21,nan,nan,,,nan,nan,Liang+2014,91.5,nan,55.0,nan,=,393.0,8.0,=,13.86,0.01,<=(1sig),2.0,nan,<=(1sig),11.08,nan,<=(1sig),3.5,nan,<=(1sig),11.22,nan,<=(1sig),1.5,nan,<=(1sig),11.23,nan,<=(1sig),2.5,nan,<=(1sig),12.09,nan,<=(1sig),4.0,nan,<=(1sig),12.0,nan,,nan,nan,,nan,nan
NewObs/Archived,DDO183,207.7129,38.0211,198.59,SDSSJ134231.22+382903.4,205.6305,38.4843,95.4,3.5,9.9,nan,nan,3.22,0.12,D09,7.35,0.07,Dale09+d_ref,10.41,0.04,M21,10.26,0.04,M21,7.31,0.03,K13_m21+d_ref,=,-2.74,0.04,"FUV, Lee11",92.3,2.8,55.5,1.7,,nan,nan,,nan,nan,<=(1sig),12.6,nan,<=(1sig),11.9,nan,<=(1sig),9.1,nan,<=(1sig),11.66,nan,<=(1sig),16.1,nan,<=(1sig),12.26,nan,,nan,nan,,nan,nan,<=(1sig),27.0,nan,<=(1sig),12.83,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ114940.75+655543.8,177.4199,65.9289,nan,3c263,174.9877,65.797,365.3,nan,23.0,nan,0.0049,nan,nan,,7.43,nan,Liang+2014(Kroupa IMF),10.450000000000001,nan,M21,10.3,nan,M21,nan,nan,,,nan,nan,Liang+2014,95.1,nan,57.2,nan,<=(1sig),4.0,nan,<=(1sig),11.87,nan,<=(1sig),2.0,nan,<=(1sig),11.08,nan,<=(1sig),3.0,nan,<=(1sig),11.15,nan,<=(1sig),3.5,nan,<=(1sig),11.6,nan,<=(1sig),4.0,nan,<=(1sig),12.3,nan,<=(1sig),4.5,nan,<=(1sig),12.05,nan,,nan,nan,,nan,nan
Liang&Chen2014,2dFGRSN218Z179,152.3857,-2.183,nan,PG1011-040,153.586,-4.3112,455.3,nan,29.7,nan,0.0025,nan,nan,,7.43,nan,Liang+2014(Kroupa IMF),10.450000000000001,nan,M21,10.3,nan,M21,nan,nan,,,nan,nan,Liang+2014,95.1,nan,57.2,nan,=,139.0,8.0,=,13.41,0.02,<=(1sig),2.5,nan,<=(1sig),11.18,nan,<=(1sig),4.0,nan,<=(1sig),11.28,nan,<=(1sig),4.5,nan,<=(1sig),11.71,nan,<=(1sig),4.5,nan,<=(1sig),12.35,nan,<=(1sig),8.5,nan,<=(1sig),12.32,nan,,nan,nan,,nan,nan
NewObs/Archived,Sextans A,152.7533,-4.6928,317.27,RXSJ09565-0452,149.1258,-4.8881,91.0,3.2,17.4,nan,nan,1.44,0.05,T16,7.44,0.07,Dale09+d_ref,10.46,0.04,M21,10.31,0.04,M21,7.95,0.03,Hunter12_rescaled,=,-2.12,0.04,"FUV, Lee11",95.8,2.9,57.7,1.8,,nan,nan,,nan,nan,<=(1sig),12.9,nan,<=(1sig),11.9,nan,<=(1sig),9.9,nan,<=(1sig),11.69,nan,<=(1sig),9.0,nan,<=(1sig),12.0,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Qu&Bregman2022,Sextans A,152.7533,-4.6928,317.3,PG 1011-040,153.586,-4.3112,23.0,0.8,29.7,nan,nan,1.44,0.05,T16,7.44,0.07,Dale09+d_ref,10.450000000000001,0.04,M21,10.3,0.04,M21,7.95,0.03,Hunter12_rescaled,=,-2.12,0.04,"FUV, Lee11",95.2,2.9,57.3,1.8,,nan,nan,,nan,nan,<=(1sig),4.3,nan,<=(1sig),11.422878745280338,nan,<=(1sig),5.8,nan,<=(1sig),11.422878745280338,nan,<=(1sig),6.5,nan,<=(1sig),11.822878745280338,nan,,nan,nan,,nan,nan,=,44.2,8.1,=,13.04,0.08,,nan,nan,,nan,nan
Qu&Bregman2022,Sextans A,152.7533,-4.6928,317.3,MARK 1253,154.887,-3.3375,63.4,2.2,8.6,nan,nan,1.44,0.05,T16,7.44,0.07,Dale09+d_ref,10.46,0.04,M21,10.31,0.04,M21,7.95,0.03,Hunter12_rescaled,=,-2.12,0.04,"FUV, Lee11",95.8,2.9,57.7,1.8,,nan,nan,,nan,nan,<=(1sig),7.6,nan,<=(1sig),11.622878745280337,nan,<=(1sig),16.4,nan,<=(1sig),11.922878745280338,nan,<=(1sig),17.0,nan,<=(1sig),12.322878745280338,nan,,nan,nan,,nan,nan,<=(1sig),21.1,nan,<=(1sig),12.722878745280337,nan,,nan,nan,,nan,nan
Zheng+2019b,WLM,0.4921,-15.4611,-124.82,PHL2525,0.1018,-12.7633,46.6,2.0,18.0,nan,nan,0.98,0.04,J09,7.48,0.07,Dale09+d_ref,10.48,10.33,M21,10.33,10.33,M21,7.83,0.04,Hunter12_rescaled,=,-2.43,0.04,"FUV, Lee11",97.3,3.0,58.5,1.8,,nan,nan,<=(1sig),17.542878745280337,nan,=,118.7,5.0,=,12.97,0.07,=,233.1,4.9,=,13.3,0.09,=,72.6,8.7,=,12.95,0.1,=,169.0,5.7,=,13.93,0.04,=,151.4,10.8,=,13.67,0.09,,nan,nan,=,nan,nan
NewObs/Archived,UGC06541,173.3712,49.2381,254.22,MRK1447,172.6214,49.5827,44.2,2.0,11.7,nan,nan,4.23,0.19,T16,7.51,0.07,Dale09+d_ref,10.49,0.04,M21,10.34,0.04,M21,7.04,0.04,K13_m21+d_ref,=,-2.31,0.04,"FUV, Lee11",98.0,2.9,58.9,1.9,,nan,nan,,nan,nan,<=(1sig),11.7,nan,<=(1sig),11.85,nan,<=(1sig),12.1,nan,<=(1sig),11.75,nan,<=(1sig),13.0,nan,<=(1sig),12.16,nan,,nan,nan,,nan,nan,<=(1sig),16.7,nan,<=(1sig),12.65,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ091246.59+085620.1,138.1945,8.9389,nan,SDSSJ091029.75+101413.6,137.624,10.2371,457.9,nan,3.3,nan,0.0044,nan,nan,,7.53,nan,Liang+2014(Kroupa IMF),10.5,nan,M21,10.35,nan,M21,nan,nan,,,-2.49,nan,Liang+2014,98.8,nan,59.4,nan,<=(1sig),50.0,nan,<=(1sig),12.96,nan,<=(1sig),20.0,nan,<=(1sig),12.08,nan,,nan,nan,,nan,nan,<=(1sig),23.5,nan,<=(1sig),12.43,nan,<=(1sig),19.0,nan,<=(1sig),12.97,nan,<=(1sig),19.5,nan,<=(1sig),12.68,nan,,nan,nan,,nan,nan
NewObs/Archived,Sextans B,150.0004,5.3322,294.01,SDSSJ095915.65+050355.1,149.8152,5.0653,8.1,0.3,10.8,nan,nan,1.43,0.05,T16,7.56,0.07,Dale09+d_ref,10.52,0.04,M21,10.37,0.04,M21,7.57,0.03,H18+d_ref,=,-2.58,0.04,"FUV, Lee11",100.4,3.1,60.4,1.9,,nan,nan,,nan,nan,<=(1sig),17.0,nan,<=(1sig),12.02,nan,=,79.6,9.8,=,12.72,0.06,=,24.0,8.1,=,12.45,0.13,,nan,nan,,nan,nan,=,121.4,23.1,=,13.63,0.05,,nan,nan,,nan,nan
NewObs/Archived,Sextans B,150.0004,5.3322,294.01,SDSS-J100535.24+013445.7,151.3969,1.5793,99.8,3.5,10.5,nan,nan,1.43,0.05,T16,7.56,0.07,Dale09+d_ref,10.52,0.04,M21,10.37,0.04,M21,7.57,0.03,H18+d_ref,=,-2.58,0.04,"FUV, Lee11",100.3,3.1,60.4,1.9,,nan,nan,,nan,nan,<=(1sig),14.5,nan,<=(1sig),11.94,nan,<=(1sig),15.9,nan,<=(1sig),11.91,nan,<=(1sig),12.6,nan,<=(1sig),12.17,nan,,nan,nan,,nan,nan,<=(1sig),13.7,nan,<=(1sig),12.54,nan,,nan,nan,,nan,nan
Qu&Bregman2022,Sextans B,150.0004,5.3322,294.0,PG 1001+054,151.084,5.2168,27.1,1.0,15.6,nan,nan,1.43,0.05,T16,7.56,0.07,Dale09+d_ref,10.52,0.04,M21,10.37,0.04,M21,7.57,0.03,H18+d_ref,=,-2.58,0.04,"FUV, Lee11",100.3,3.2,60.3,1.8,,nan,nan,,nan,nan,<=(1sig),8.4,nan,<=(1sig),11.722878745280337,nan,<=(1sig),8.2,nan,<=(1sig),11.622878745280337,nan,<=(1sig),10.4,nan,<=(1sig),12.122878745280337,nan,,nan,nan,,nan,nan,<=(1sig),16.8,nan,<=(1sig),12.622878745280337,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ110017.94+412609.1,165.0748,41.4359,nan,SDSSJ110312.93+414154.9,165.8039,41.6986,483.4,nan,7.6,nan,0.0108,nan,nan,,7.63,nan,Liang+2014(Kroupa IMF),10.56,nan,M21,10.41,nan,M21,nan,nan,,,-1.77,nan,Liang+2014,103.4,nan,62.2,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),10.5,nan,<=(1sig),11.7,nan,<=(1sig),11.5,nan,<=(1sig),12.12,nan,<=(1sig),13.0,nan,<=(1sig),12.81,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ083335.65+250847.1,128.3985,25.1464,nan,PG0832+251,128.8992,24.9945,263.3,nan,10.9,nan,0.0074,nan,nan,,7.63,nan,Liang+2014(Kroupa IMF),10.56,nan,M21,10.41,nan,M21,nan,nan,,,-1.92,nan,Liang+2014,103.4,nan,62.2,nan,=,248.0,11.0,=,13.66,0.02,<=(1sig),5.5,nan,<=(1sig),11.52,nan,,nan,nan,,nan,nan,<=(1sig),8.5,nan,<=(1sig),11.98,nan,,nan,nan,,nan,nan,<=(1sig),15.5,nan,<=(1sig),12.59,nan,,nan,nan,,nan,nan
Liang&Chen2014,SDSSJ113244.04+022824.8,173.1836,2.4736,nan,SDSSJ113327.78+032719.1,173.3658,3.4553,254.8,nan,6.0,nan,0.0034,nan,nan,,7.63,nan,Liang+2014(Kroupa IMF),10.56,nan,M21,10.41,nan,M21,nan,nan,,,-2.21,nan,Liang+2014,103.4,nan,62.2,nan,<=(1sig),25.0,nan,<=(1sig),12.66,nan,,nan,nan,,nan,nan,,nan,nan,,nan,nan,<=(1sig),16.0,nan,<=(1sig),12.26,nan,,nan,nan,,nan,nan,<=(1sig),19.0,nan,<=(1sig),12.67,nan,,nan,nan,,nan,nan
NewObs/Archived,DDO190,216.1812,44.5258,161.98,QSO-B1411+4414,213.4514,44.0039,100.3,1.5,30.0,nan,nan,2.84,0.04,J09,7.65,0.06,Dale09+d_ref,10.57,0.03,M21,10.42,0.03,M21,7.65,0.01,SI02_d_ref,=,-2.43,0.02,"FUV, Lee11",104.3,2.5,62.7,1.4,,nan,nan,,nan,nan,<=(1sig),4.7,nan,<=(1sig),11.45,nan,<=(1sig),3.7,nan,<=(1sig),11.24,nan,<=(1sig),5.8,nan,<=(1sig),11.81,nan,<=(1sig),3.3,nan,<=(1sig),12.21,nan,<=(1sig),8.4,nan,<=(1sig),12.32,nan,,nan,nan,,nan,nan
NewObs/Archived,DDO190,216.1812,44.5258,161.98,PG1415+451,214.2534,44.9351,70.9,1.0,12.9,nan,nan,2.84,0.04,J09,7.65,0.06,Dale09+d_ref,10.57,0.03,M21,10.42,0.03,M21,7.65,0.01,SI02_d_ref,=,-2.43,0.02,"FUV, Lee11",104.3,2.4,62.7,1.5,,nan,nan,,nan,nan,<=(1sig),11.4,nan,<=(1sig),11.85,nan,<=(1sig),11.5,nan,<=(1sig),11.74,nan,<=(1sig),15.7,nan,<=(1sig),12.26,nan,<=(1sig),8.7,nan,<=(1sig),12.65,nan,<=(1sig),13.9,nan,<=(1sig),12.52,nan,,nan,nan,,nan,nan
